shape_variant_id,version_id,shape_id,trip_headsign,is_main,note
103952,100388,J144,"Budafok, Vincellér út",0,
103953,100388,K088,Újbuda-központ,0,
103954,100390,H255,Savoya Park,0,
103955,100408,D328,Rákosliget vasútállomás,0,
103956,100408,J029,Cinkotai autóbuszgarázs,0,
103957,100408,K898,Vidor utca,0,
103958,100408,M854,Injekcióüzem,0,
103959,100423,L660,Bécsi út (Vörösvári út),0,
103960,100423,L683,Bécsi út (Vörösvári út),0,
103961,100424,L662,Közvágóhíd H,0,
103962,100437,X800,Angyalföld kocsiszín,0,
103963,100438,X801,Lehel tér M,0,
103964,100441,D497,Budafok kocsiszín,0,
103965,100442,7944,Szépilona kocsiszín,0,
103966,100445,L133,Közvágóhíd,0,
103967,100445,L140,Ferencváros kocsiszín,0,
103968,100455,I984,Budafok kocsiszín,0,
103969,100455,J907,Móricz Zsigmond körtér,0,
103970,100458,I983,Kelenföld kocsiszín,0,
103971,100483,1032,"Erzsébet királyné útja, aluljáró",0,
103972,100484,1031,Kossuth Lajos tér M,0,
103973,100485,1033,Zugló vasútállomás,0,
103974,100486,1034,Arany János utca M,0,
103975,100486,1878,Arany János utca M,0,
103976,100487,G456,Keleti pályaudvar M,0,
103977,100488,G455,Arany János utca M,0,
103978,100489,1038,Csáktornya park,0,
103979,100490,1037,Károly körút (Astoria M),0,
103980,100490,B193,Vakok Intézete,0,
103981,100491,1040,Csáktornya park,0,
103982,100492,1039,Mexikói út M,0,
103983,100493,G453,Puskás Ferenc Stadion M,0,
103984,100494,G452,Jászai Mari tér,0,
103985,100495,L238,Keleti pályaudvar M,0,
103986,100496,L237,Jászai Mari tér,0,
103987,100497,E304,Öv utca (Egressy út),0,
103988,100498,E303,Puskás Ferenc Stadion M,0,
103989,100499,1084,Keleti pályaudvar M,0,
103990,100500,1082,Kossuth Lajos tér M,0,
103991,100501,T093,Váci út (Dózsa György út M),0,
103992,100501,T095,Váci út (Dózsa György út M),0,
103993,100502,T094,Keleti pályaudvar M,0,
103994,100502,T096,Damjanich utca,0,
103995,100503,G770,Örs vezér tere M+H,0,
103996,100504,O319,Keleti pályaudvar M,0,
103997,100509,E308,Örs vezér tere M+H,0,
103998,100510,E210,Uzsoki Utcai Kórház,0,
103999,100510,E307,Uzsoki Utcai Kórház,0,
104000,100511,M161,Orczy tér,0,
