route_id,agency_id,route_short_name,route_type,route_color,route_text_color
0960,BKK,96,3,1188FF,000000
0960,BKK,96,3,1188FF,000000
0975,BKK,97E,3,1188FF,000000
0975,BKK,97E,3,1188FF,000000
0980,BKK,98,3,1188FF,000000
0980,BKK,98,3,1188FF,000000
0985,BKK,98E,3,1188FF,000000
0985,BKK,98E,3,1188FF,000000
0990,BKK,99,3,1188FF,000000
0990,BKK,99,3,1188FF,000000
1000,BKK,100,3,1188FF,000000
1020,BKK,102,3,1188FF,000000
1020,BKK,102,3,1188FF,000000
1030,BKK,103,3,1188FF,000000
1030,BKK,103,3,1188FF,000000
1040,BKK,104,3,1188FF,000000
1040,BKK,104,3,1188FF,000000
1041,BKK,104A,3,1188FF,000000
1041,BKK,104A,3,1188FF,000000
1050,BKK,105,3,1188FF,000000
1050,BKK,105,3,1188FF,000000
1060,BKK,106,3,1188FF,000000
1060,BKK,106,3,1188FF,000000
1075,BKK,107E,3,1188FF,000000
1075,BKK,107E,3,1188FF,000000
1110,BKK,111,3,1188FF,000000
1110,BKK,111,3,1188FF,000000
1120,BKK,112,3,1188FF,000000
1120,BKK,112,3,1188FF,000000
1130,BKK,113,3,1188FF,000000
1130,BKK,113,3,1188FF,000000
1131,BKK,113A,3,1188FF,000000
1131,BKK,113A,3,1188FF,000000
1140,BKK,114,3,1188FF,000000
1140,BKK,114,3,1188FF,000000
1150,BKK,115,3,1188FF,000000
1150,BKK,115,3,1188FF,000000
1160,BKK,116,3,1188FF,000000
1160,BKK,116,3,1188FF,000000
1170,BKK,117,3,1188FF,000000
1170,BKK,117,3,1188FF,000000
1180,BKK,118,3,1188FF,000000
1180,BKK,118,3,1188FF,000000
1190,BKK,119,3,1188FF,000000
1190,BKK,119,3,1188FF,000000
1200,BKK,120,3,1188FF,000000
1200,BKK,120,3,1188FF,000000
1210,BKK,121,3,1188FF,000000
1210,BKK,121,3,1188FF,000000
1220,BKK,122,3,1188FF,000000
1220,BKK,122,3,1188FF,000000
1230,BKK,123,3,1188FF,000000
1230,BKK,123,3,1188FF,000000
1231,BKK,123A,3,1188FF,000000
1231,BKK,123A,3,1188FF,000000
1240,BKK,124,3,1188FF,000000
1240,BKK,124,3,1188FF,000000
1250,BKK,125,3,1188FF,000000
1250,BKK,125,3,1188FF,000000
1260,BKK,126,3,1188FF,000000
1260,BKK,126,3,1188FF,000000
1261,BKK,126A,3,1188FF,000000
1261,BKK,126A,3,1188FF,000000
1280,BKK,128,3,1188FF,000000
1280,BKK,128,3,1188FF,000000
1290,BKK,129,3,1188FF,000000
1290,BKK,129,3,1188FF,000000
1300,BKK,130,3,1188FF,000000
1300,BKK,130,3,1188FF,000000
1310,BKK,131,3,1188FF,000000
1310,BKK,131,3,1188FF,000000
1330,BKK,133,3,1188FF,000000
1330,BKK,133,3,1188FF,000000
1335,BKK,133E,3,1188FF,000000
1335,BKK,133E,3,1188FF,000000
1340,BKK,134,3,1188FF,000000
1340,BKK,134,3,1188FF,000000
1365,BKK,136E,3,1188FF,000000
1365,BKK,136E,3,1188FF,000000
1370,BKK,137,3,1188FF,000000
1370,BKK,137,3,1188FF,000000
1380,BKK,138,3,1188FF,000000
1380,BKK,138,3,1188FF,000000
1390,BKK,139,3,1188FF,000000
1390,BKK,139,3,1188FF,000000
1400,BKK,140,3,1188FF,000000
1400,BKK,140,3,1188FF,000000
1407,BKK,140i,3,1188FF,000000
1407,BKK,140i,3,1188FF,000000
1410,BKK,141,3,1188FF,000000
1410,BKK,141,3,1188FF,000000
1430,BKK,143,3,1188FF,000000
1440,BKK,144,3,1188FF,000000
1440,BKK,144,3,1188FF,000000
1460,BKK,146,3,1188FF,000000
1461,BKK,146A,3,1188FF,000000
1470,BKK,147,3,1188FF,000000
1470,BKK,147,3,1188FF,000000
1480,BKK,148,3,1188FF,000000
1480,BKK,148,3,1188FF,000000
1490,BKK,149,3,1188FF,000000
1490,BKK,149,3,1188FF,000000
1500,BKK,150,3,1188FF,000000
1500,BKK,150,3,1188FF,000000
1505,BKK,150E,3,1188FF,000000
1505,BKK,150E,3,1188FF,000000
1510,BKK,151,3,1188FF,000000
1510,BKK,151,3,1188FF,000000
1518,BKK,151,3,1188FF,000000
1520,BKK,152,3,1188FF,000000
1520,BKK,152,3,1188FF,000000
1530,BKK,153,3,1188FF,000000
1530,BKK,153,3,1188FF,000000
1550,BKK,155,3,1188FF,000000
1550,BKK,155,3,1188FF,000000
1560,BKK,156,3,1188FF,000000
1560,BKK,156,3,1188FF,000000
1570,BKK,157,3,1188FF,000000
1570,BKK,157,3,1188FF,000000
1590,BKK,159,3,1188FF,000000
1590,BKK,159,3,1188FF,000000
1600,BKK,160,3,1188FF,000000
1600,BKK,160,3,1188FF,000000
1610,BKK,161,3,1188FF,000000
1610,BKK,161,3,1188FF,000000
1611,BKK,161A,3,1188FF,000000
1611,BKK,161A,3,1188FF,000000
1620,BKK,162,3,1188FF,000000
1620,BKK,162,3,1188FF,000000
1621,BKK,162A,3,1188FF,000000
1621,BKK,162A,3,1188FF,000000
1640,BKK,164,3,1188FF,000000
1640,BKK,164,3,1188FF,000000
1650,BKK,165,3,1188FF,000000
1650,BKK,165,3,1188FF,000000
1660,BKK,166,3,1188FF,000000
1660,BKK,166,3,1188FF,000000
1661,BKK,166A,3,1188FF,000000
