service_id,date,exception_type
C27966AVVKMK-011,20250601,1
C27966AVVKMK-011,20250608,1
C27966AVVKMK-011,20250609,1
C27966AVVKMK-011,20250615,1
C27966AVVKMK-011,20250622,1
C27966AVVKMK-011,20250629,1
C36504R06SZPÁ-0041,20250531,1
C36504R06SZPÁ-0041,20250614,1
C36505R06VVPÁ-0041,20250601,1
C36505R06VVPÁ-0041,20250615,1
C41987ASZPÁ-0031,20250524,1
C41987ASZPÁ-0031,20250607,1
C41987ASZPÁ-0031,20250608,1
C41989AVVPÁ-0031,20250518,1
C41989AVVPÁ-0031,20250525,1
C41989AVVPÁ-0031,20250609,1
C56403ASZCsZ-011,20250524,1
C56403ASZCsZ-011,20250531,1
C56403ASZCsZ-011,20250607,1
C56403ASZCsZ-011,20250614,1
C56403ASZCsZ-011,20250621,1
C56403ASZCsZ-011,20250628,1
C56408AVVCsZ-011,20250518,1
C56408AVVCsZ-011,20250525,1
C56408AVVCsZ-011,20250601,1
C56408AVVCsZ-011,20250608,1
C56408AVVCsZ-011,20250609,1
C56408AVVCsZ-011,20250615,1
C56408AVVCsZ-011,20250622,1
C56408AVVCsZ-011,20250629,1
C58788ASVLL-0011,20250518,1
C58788ASVLL-0011,20250531,1
C58788ASVLL-0011,20250601,1
C58788ASVLL-0011,20250607,1
C58788ASVLL-0011,20250608,1
C58788ASVLL-0011,20250609,1
C58788ASVLL-0011,20250614,1
C58788ASVLL-0011,20250615,1
C58789K1HPLL-0011,20250517,1
C58789K1HPLL-0011,20250625,1
C58789K1HPLL-0011,20250626,1
C58789K1HPLL-0011,20250630,1
C58789K1HPLL-0011,20250701,1
C60770R42SZMM-0011,20250621,1
C60770R42SZMM-0011,20250628,1
C60771R42VVMM-0011,20250622,1
C60771R42VVMM-0011,20250629,1
C61209AHPSZB-011,20250519,1
C61209AHPSZB-011,20250520,1
C61209AHPSZB-011,20250521,1
C61209AHPSZB-011,20250522,1
C61209AHPSZB-011,20250523,1
C61209AHPSZB-011,20250526,1
C61209AHPSZB-011,20250527,1
C61209AHPSZB-011,20250528,1
C61209AHPSZB-011,20250529,1
C61209AHPSZB-011,20250530,1
C61209AHPSZB-011,20250602,1
C61209AHPSZB-011,20250603,1
C61209AHPSZB-011,20250604,1
C61209AHPSZB-011,20250605,1
C61209AHPSZB-011,20250606,1
C61209AHPSZB-011,20250610,1
C61209AHPSZB-011,20250611,1
C61209AHPSZB-011,20250612,1
C61209AHPSZB-011,20250613,1
C61209AHPSZB-011,20250616,1
C61209AHPSZB-011,20250617,1
C61209AHPSZB-011,20250618,1
C61209AHPSZB-011,20250619,1
C61209AHPSZB-011,20250620,1
C61667AHCKMK-011,20250521,1
C61667AHCKMK-011,20250522,1
C61667AHCKMK-011,20250527,1
C61667AHCKMK-011,20250528,1
C61667AHCKMK-011,20250529,1
C61667AHCKMK-011,20250604,1
C61667AHCKMK-011,20250605,1
C61667AHCKMK-011,20250610,1
C61667AHCKMK-011,20250611,1
C61667AHCKMK-011,20250612,1
C61667AHCKMK-011,20250618,1
C61667AHCKMK-011,20250619,1
C61667AVSKMK-011,20250520,1
C61667AVSKMK-011,20250521,1
C61667AVSKMK-011,20250526,1
C61667AVSKMK-011,20250527,1
C61667AVSKMK-011,20250528,1
C61667AVSKMK-011,20250603,1
C61667AVSKMK-011,20250604,1
C61667AVSKMK-011,20250609,1
C61667AVSKMK-011,20250610,1
C61667AVSKMK-011,20250611,1
C61667AVSKMK-011,20250617,1
C61667AVSKMK-011,20250618,1
C61986AVVSZB-011,20250518,1
C61986AVVSZB-011,20250525,1
C61986AVVSZB-011,20250601,1
C61986AVVSZB-011,20250608,1
C61986AVVSZB-011,20250609,1
C61986AVVSZB-011,20250615,1
C61986AVVSZB-011,20250622,1
C61986AVVSZB-011,20250629,1
C62002REHHPER011,20250519,1
C62002REHHPER011,20250602,1
C62002REVVPER011,20250518,1
C62002REVVPER011,20250601,1
C62048REKKPER011,20250520,1
C62048REKKPER011,20250603,1
C62048REKKPER011,20250617,1
C62820AVVWA-0041,20250518,1
C62820AVVWA-0041,20250525,1
C62820AVVWA-0041,20250601,1
C62820AVVWA-0041,20250608,1
C62820AVVWA-0041,20250609,1
C62820AVVWA-0041,20250615,1
C62820AVVWA-0041,20250622,1
C62820AVVWA-0041,20250629,1
C63474K1HPBR-0041,20250701,1
C64439R03SVMM-0021,20250524,1
C64439R03SVMM-0021,20250525,1
C65577K1HPKMK-031,20250517,1
C65577K1HPKMK-031,20250623,1
C65577K1HPKMK-031,20250624,1
C65577K1HPKMK-031,20250625,1
C65577K1HPKMK-031,20250626,1
C65577K1HPKMK-031,20250627,1
C65701K2HPSzN-021,20250701,1
C65704K1HPSzN-051,20250517,1
C65704K1HPSzN-051,20250623,1
C65704K1HPSzN-051,20250624,1
C65704K1HPSzN-051,20250625,1
C65704K1HPSzN-051,20250626,1
C65704K1HPSzN-051,20250627,1
C65704K1HPSzN-051,20250630,1
C65705ASZSzN-061,20250524,1
C65705ASZSzN-061,20250531,1
C65705ASZSzN-061,20250607,1
C65705ASZSzN-061,20250614,1
C65705ASZSzN-061,20250621,1
C65705ASZSzN-061,20250628,1
C65706AVVSzN-061,20250518,1
C65706AVVSzN-061,20250525,1
C65706AVVSzN-061,20250601,1
C65706AVVSzN-061,20250608,1
C65706AVVSzN-061,20250609,1
C65706AVVSzN-061,20250615,1
C65706AVVSzN-061,20250622,1
C65706AVVSzN-061,20250629,1
C66749K2HPKMK-031,20250630,1
C66749K2HPKMK-031,20250701,1
C68931AHPBR-0031,20250519,1
C68931AHPBR-0031,20250520,1
C68931AHPBR-0031,20250521,1
C68931AHPBR-0031,20250522,1
C68931AHPBR-0031,20250523,1
C68931AHPBR-0031,20250526,1
C68931AHPBR-0031,20250527,1
C68931AHPBR-0031,20250528,1
C68931AHPBR-0031,20250529,1
C68931AHPBR-0031,20250530,1
C68931AHPBR-0031,20250602,1
C68931AHPBR-0031,20250603,1
C68931AHPBR-0031,20250604,1
C68931AHPBR-0031,20250605,1
C68931AHPBR-0031,20250606,1
C68931AHPBR-0031,20250610,1
C68931AHPBR-0031,20250611,1
C68931AHPBR-0031,20250612,1
C68931AHPBR-0031,20250613,1
C68931AHPBR-0031,20250616,1
C68931AHPBR-0031,20250617,1
C68931AHPBR-0031,20250618,1
C68931AHPBR-0031,20250619,1
C68931AHPBR-0031,20250620,1
C68941K1HPBR-0011,20250517,1
C68941K1HPBR-0011,20250623,1
C68941K1HPBR-0011,20250624,1
C68941K1HPBR-0011,20250625,1
C68941K1HPBR-0011,20250626,1
C68941K1HPBR-0011,20250627,1
C68941K1HPBR-0011,20250630,1
C68941K1HPBR-0011,20250701,1
C69651K2HPMAA-011,20250630,1
C69651K2HPMAA-011,20250701,1
C69866RK5HPYM-0011,20250517,1
C69866RK5HPYM-0011,20250519,1
C69866RK5HPYM-0011,20250520,1
C69866RK5HPYM-0011,20250521,1
C71267K1HPSzN-101,20250517,1
C71611AHPLL-0011,20250519,1
C71611AHPLL-0011,20250520,1
C71611AHPLL-0011,20250521,1
C71611AHPLL-0011,20250522,1
C71611AHPLL-0011,20250523,1
